S1,Card1,S2,Card2,S3,Card3,S4,Card4,S5,Card5,ClassH
3,7,1,8,1,7,4,12,2,8,TwoPairs
1,9,4,6,4,9,2,9,1,1,ThreeOfAKind
3,10,1,7,4,7,4,6,1,11,OnePair
2,10,1,4,3,12,4,9,2,9,OnePair
2,11,2,3,3,1,2,9,3,2,NothingInHand
1,13,1,3,1,12,4,11,2,12,OnePair
2,7,1,6,3,6,4,13,4,9,OnePair
2,1,3,2,2,10,4,1,4,12,OnePair
2,2,2,8,4,9,3,12,4,5,NothingInHand
4,9,2,11,4,7,3,12,1,4,NothingInHand
1,6,3,9,2,8,2,2,4,9,OnePair
1,7,4,4,4,12,3,7,2,2,OnePair
4,10,2,1,4,11,3,11,2,11,ThreeOfAKind
3,12,1,1,3,13,4,11,2,7,NothingInHand
4,5,3,11,2,7,4,8,3,8,OnePair
3,4,2,11,4,8,1,12,4,6,NothingInHand
4,1,3,10,3,3,3,13,3,11,NothingInHand
2,2,3,4,4,13,1,5,2,13,OnePair
1,2,2,9,1,12,3,10,1,11,NothingInHand
1,3,2,1,3,13,3,4,1,9,NothingInHand
3,6,2,13,4,13,3,10,2,12,OnePair
3,9,4,12,4,10,1,3,1,6,NothingInHand
4,7,3,2,4,5,3,9,2,5,OnePair
4,2,2,7,3,13,2,12,1,7,OnePair
2,3,1,5,3,7,4,1,3,8,NothingInHand
2,9,1,4,2,5,2,10,4,1,NothingInHand
3,1,4,10,2,10,1,5,2,11,OnePair
2,13,4,6,1,11,3,3,4,7,NothingInHand
4,11,3,13,1,1,1,13,2,2,OnePair
2,12,2,4,3,2,2,7,4,12,OnePair
1,2,4,2,4,10,2,11,3,1,OnePair
1,4,1,3,1,12,4,8,4,13,NothingInHand
4,11,4,12,3,4,1,9,2,13,NothingInHand
2,10,3,9,4,13,1,12,2,7,NothingInHand
4,11,4,8,3,2,4,10,3,3,NothingInHand
2,10,4,3,4,11,1,4,2,7,NothingInHand
3,10,1,9,4,3,2,4,1,4,OnePair
3,12,3,10,4,6,2,6,2,13,OnePair
1,11,3,5,2,13,4,12,2,2,NothingInHand
3,6,4,2,3,10,2,7,1,8,NothingInHand
4,12,3,1,2,13,2,6,2,1,OnePair
3,12,4,2,4,3,3,13,2,8,NothingInHand
4,12,2,9,2,5,2,12,3,10,OnePair
2,5,2,2,2,8,4,6,1,9,NothingInHand
3,2,4,7,4,4,4,5,1,3,NothingInHand
4,1,4,7,3,6,2,3,4,10,NothingInHand
3,10,1,7,4,7,2,6,2,4,OnePair
1,11,3,3,4,12,1,4,1,6,NothingInHand
1,2,3,4,1,12,2,8,3,1,NothingInHand
4,5,4,7,3,1,3,9,2,3,NothingInHand
2,13,4,5,2,11,3,9,4,10,NothingInHand
3,7,2,3,3,12,2,10,2,2,NothingInHand
1,13,1,8,4,6,1,11,2,7,NothingInHand
4,12,2,2,4,11,4,3,3,1,NothingInHand
1,13,2,5,4,12,2,12,4,1,OnePair
3,7,1,9,2,2,4,6,4,1,NothingInHand
4,8,4,10,4,5,1,11,1,9,NothingInHand
1,8,4,7,4,13,2,6,3,6,OnePair
4,5,2,4,3,9,1,10,2,13,NothingInHand
4,3,2,2,4,10,1,4,4,11,NothingInHand
3,8,1,8,2,5,3,3,3,1,OnePair
3,7,2,5,1,11,3,4,3,5,OnePair
2,4,1,4,1,7,4,8,1,5,OnePair
2,10,3,10,2,13,2,6,1,6,TwoPairs
4,9,3,11,3,8,1,4,3,13,NothingInHand
4,7,2,12,3,3,1,8,1,7,OnePair
1,5,1,1,3,3,2,12,3,11,NothingInHand
1,4,1,6,4,13,2,13,4,3,OnePair
4,3,2,13,2,4,3,7,1,2,NothingInHand
2,7,4,10,1,10,1,2,4,5,OnePair
2,9,2,4,1,10,3,7,2,7,OnePair
3,3,3,8,4,8,1,1,1,11,OnePair
4,7,4,11,3,5,3,12,1,3,NothingInHand
1,1,4,8,2,4,3,10,4,5,NothingInHand
2,12,4,2,1,5,3,10,1,10,OnePair
4,2,4,8,4,7,1,3,4,6,NothingInHand
2,4,1,8,1,12,1,9,4,10,NothingInHand
2,3,1,6,2,12,3,6,4,5,OnePair
3,1,3,9,4,13,1,5,3,7,NothingInHand
2,6,4,4,1,13,4,6,4,5,OnePair
4,3,4,10,2,8,1,7,3,10,OnePair
3,10,2,9,1,1,2,11,2,8,NothingInHand
4,6,3,3,3,7,2,4,2,2,NothingInHand
2,1,2,7,1,12,4,8,1,5,NothingInHand
4,5,1,11,3,10,1,1,3,1,OnePair
4,1,4,11,3,10,2,9,3,2,NothingInHand
3,11,2,7,2,12,2,5,1,7,OnePair
3,1,4,6,4,13,4,11,4,12,NothingInHand
1,1,2,3,3,2,4,10,1,9,NothingInHand
1,13,3,1,2,10,2,6,1,12,NothingInHand
2,10,3,1,3,9,2,9,3,5,OnePair
2,13,1,1,2,12,1,7,2,7,OnePair
3,5,1,8,4,11,4,6,2,3,NothingInHand
3,10,2,3,2,1,4,7,4,10,OnePair
4,11,2,13,2,8,2,1,4,12,NothingInHand
2,5,1,2,3,4,4,8,3,9,NothingInHand
1,12,3,3,2,2,2,4,2,8,NothingInHand
4,6,2,10,2,12,3,5,1,11,NothingInHand
3,1,2,11,4,11,1,13,2,2,OnePair
2,4,2,7,4,4,2,6,2,8,OnePair
1,3,4,3,4,4,3,1,4,13,OnePair
3,3,1,1,4,3,2,13,4,8,OnePair
4,7,1,3,4,4,4,1,3,11,NothingInHand
4,2,2,3,3,8,4,7,2,13,NothingInHand
4,5,2,5,2,1,4,8,1,13,OnePair
4,9,3,13,4,10,2,2,1,7,NothingInHand
2,12,2,9,4,1,4,2,1,11,NothingInHand
1,10,3,9,3,10,1,8,4,13,OnePair
4,2,4,4,1,5,4,10,3,3,NothingInHand
1,3,4,10,4,8,4,4,4,13,NothingInHand
3,12,2,2,4,11,3,8,2,1,NothingInHand
1,6,2,1,1,8,3,9,1,5,NothingInHand
2,1,2,9,3,9,3,13,2,8,OnePair
4,10,1,11,3,12,4,5,3,6,NothingInHand
3,10,1,12,1,7,3,13,2,12,OnePair
3,10,2,7,4,2,3,12,2,2,OnePair
2,7,4,9,1,5,3,9,3,6,OnePair
2,4,2,2,2,5,4,1,4,4,OnePair
3,1,2,3,4,12,3,13,3,8,NothingInHand
1,12,2,8,2,2,1,1,3,8,OnePair
2,12,4,5,3,10,2,13,4,8,NothingInHand
1,1,1,13,4,11,3,13,4,4,OnePair
4,2,1,13,2,6,2,7,2,11,NothingInHand
3,8,1,3,4,10,3,12,2,1,NothingInHand
3,2,3,11,1,12,1,13,3,9,NothingInHand
3,13,1,2,3,2,1,9,3,11,OnePair
1,12,2,10,1,4,1,3,1,6,NothingInHand
2,11,2,6,4,8,4,7,2,12,NothingInHand
3,6,2,11,3,2,3,10,1,11,OnePair
1,8,2,9,2,10,4,13,3,1,NothingInHand
4,8,2,11,2,12,3,3,4,11,OnePair
3,13,1,3,2,7,1,8,4,8,OnePair
1,11,1,1,3,10,4,9,3,6,NothingInHand
2,13,2,11,2,6,4,9,3,4,NothingInHand
1,11,1,8,3,3,2,7,1,12,NothingInHand
1,7,3,1,1,5,1,1,2,3,OnePair
3,12,2,7,4,4,1,2,2,10,NothingInHand
4,10,1,4,4,2,2,11,1,1,NothingInHand
1,4,1,12,1,2,4,9,2,12,OnePair
4,10,3,9,3,12,2,2,1,11,NothingInHand
4,11,1,1,2,1,1,3,3,5,OnePair
3,7,4,3,4,8,3,10,4,2,NothingInHand
3,1,3,10,1,4,2,10,2,3,OnePair
3,13,2,4,2,9,2,3,3,3,OnePair
3,11,2,10,3,12,1,3,1,10,OnePair
1,2,4,12,3,6,2,5,4,4,NothingInHand
4,2,3,4,4,9,2,1,2,6,NothingInHand
2,7,2,3,3,13,1,5,4,5,OnePair
2,9,4,8,2,8,2,3,2,7,OnePair
4,6,4,12,1,2,1,8,2,7,NothingInHand
3,8,1,13,1,7,4,7,3,13,TwoPairs
3,9,1,13,4,8,4,9,1,6,OnePair
1,11,1,10,4,10,3,13,1,13,TwoPairs
1,11,1,10,3,3,4,6,3,4,NothingInHand
3,9,3,1,1,10,4,5,3,4,NothingInHand
4,12,3,1,2,1,1,11,4,11,TwoPairs
4,2,1,8,2,6,2,10,3,8,OnePair
4,7,3,7,4,9,4,3,4,10,OnePair
1,12,4,4,2,9,3,6,3,1,NothingInHand
3,7,2,7,3,4,3,6,1,3,OnePair
4,6,2,9,4,7,1,8,3,8,OnePair
4,12,1,3,3,3,4,7,3,10,OnePair
1,11,2,6,2,3,4,12,4,11,OnePair
3,8,3,6,2,11,3,5,2,4,NothingInHand
3,4,2,11,1,9,2,1,3,8,NothingInHand
2,5,1,4,4,2,4,10,1,6,NothingInHand
4,3,3,5,2,12,1,2,4,4,NothingInHand
3,6,2,13,3,9,1,13,1,10,OnePair
2,11,3,6,4,7,3,2,3,11,OnePair
1,1,2,5,3,10,1,4,1,6,NothingInHand
3,10,1,8,1,6,4,1,2,2,NothingInHand
1,6,1,4,1,1,4,11,2,13,NothingInHand
2,9,2,4,1,13,1,3,3,2,NothingInHand
3,1,2,9,2,8,2,6,1,1,OnePair
4,6,1,9,3,8,4,1,4,11,NothingInHand
3,7,1,4,2,2,3,2,2,12,OnePair
2,7,2,13,3,10,1,9,1,10,OnePair
4,9,2,2,1,11,2,12,3,11,OnePair
2,3,3,4,2,8,4,4,3,12,OnePair
2,8,1,6,2,6,2,7,3,13,OnePair
1,1,1,12,4,3,4,6,3,1,OnePair
2,12,4,11,2,3,3,1,3,13,NothingInHand
4,10,1,5,3,7,4,9,1,9,OnePair
4,9,2,13,1,3,2,6,3,5,NothingInHand
1,5,4,3,4,12,3,5,2,13,OnePair
4,9,1,12,4,1,1,4,3,1,OnePair
1,8,2,8,1,7,1,12,2,4,OnePair
4,5,3,2,2,7,1,9,4,12,NothingInHand
1,8,2,2,2,3,4,2,2,7,OnePair
1,3,2,13,3,4,4,5,1,5,OnePair
4,4,2,3,3,12,1,10,3,10,OnePair
4,4,2,8,4,12,1,4,3,2,OnePair
3,13,2,2,4,13,4,6,3,2,TwoPairs
4,10,4,3,4,6,4,1,2,13,NothingInHand
3,10,3,7,1,8,3,5,2,11,NothingInHand
4,8,3,5,4,6,4,2,4,7,NothingInHand
4,12,4,7,2,4,3,13,3,11,NothingInHand
1,9,4,8,1,3,3,13,1,12,NothingInHand
4,6,1,7,4,9,2,10,4,11,NothingInHand
2,7,1,4,1,12,1,13,4,4,OnePair
4,10,2,9,2,4,4,13,3,9,OnePair
2,10,4,1,1,2,4,12,4,4,NothingInHand
1,2,2,10,4,1,2,2,4,5,OnePair
2,8,4,11,2,5,4,5,4,2,OnePair
1,13,3,12,2,12,1,9,4,12,ThreeOfAKind
1,6,4,5,3,8,2,13,4,2,NothingInHand
3,2,3,11,1,1,4,7,4,2,OnePair
2,7,1,1,2,6,3,10,4,8,NothingInHand
3,7,4,2,4,8,1,13,1,1,NothingInHand
4,7,2,13,4,2,3,12,4,5,NothingInHand
3,4,1,13,3,8,3,5,1,3,NothingInHand
2,12,4,4,4,6,1,12,1,9,OnePair
4,1,1,13,1,7,3,13,3,11,OnePair
1,10,2,10,4,2,2,6,4,4,OnePair
4,12,2,4,1,11,4,13,4,6,NothingInHand
1,11,3,9,2,3,4,6,4,1,NothingInHand
1,5,1,7,4,7,1,13,3,11,OnePair
3,10,1,2,4,12,4,6,3,5,NothingInHand
3,2,1,4,3,12,1,10,3,8,NothingInHand
2,3,1,13,1,4,2,13,4,8,OnePair
1,1,1,13,4,1,2,6,4,10,OnePair
1,6,1,13,3,11,3,6,1,2,OnePair
3,8,1,12,2,9,1,2,2,5,NothingInHand
1,11,1,13,4,9,1,7,3,13,OnePair
1,6,4,2,4,9,1,7,2,5,NothingInHand
1,1,4,10,4,6,2,3,3,4,NothingInHand
4,7,4,12,2,3,4,5,2,6,NothingInHand
1,6,3,1,1,11,1,2,4,5,NothingInHand
4,3,2,12,4,12,1,13,3,10,OnePair
4,10,2,4,2,5,1,3,4,13,NothingInHand
2,7,1,3,1,1,1,7,2,3,TwoPairs
3,12,3,2,1,5,2,1,1,8,NothingInHand
1,8,1,12,2,10,1,2,3,7,NothingInHand
4,12,2,11,4,11,1,9,3,11,ThreeOfAKind
1,4,2,6,1,13,4,10,1,7,NothingInHand
1,7,2,13,2,12,1,1,2,9,NothingInHand
1,3,3,5,1,1,2,4,3,8,NothingInHand
4,1,2,5,4,12,2,6,3,9,NothingInHand
1,5,4,9,3,3,4,7,3,8,NothingInHand
3,9,1,12,3,7,4,12,2,9,TwoPairs
4,2,3,4,1,1,3,10,4,8,NothingInHand
3,7,3,12,1,12,4,3,4,4,OnePair
2,3,4,7,1,7,1,13,3,7,ThreeOfAKind
1,3,2,13,2,5,3,10,3,7,NothingInHand
4,4,4,9,1,7,1,9,4,5,OnePair
4,9,4,7,1,9,3,7,4,5,TwoPairs
1,4,1,7,3,7,1,3,1,13,OnePair
4,9,4,4,3,7,3,8,1,6,NothingInHand
1,11,2,9,4,10,4,5,1,9,OnePair
2,11,1,2,1,3,3,11,4,4,OnePair
2,12,1,2,4,12,4,8,2,11,OnePair
1,2,4,6,4,13,1,13,2,13,ThreeOfAKind
2,1,3,6,2,2,4,4,3,1,OnePair
4,4,4,6,3,12,1,8,1,3,NothingInHand
1,9,2,13,4,5,1,11,2,9,OnePair
1,5,1,11,3,6,2,8,1,7,NothingInHand
4,5,3,4,4,7,2,2,4,9,NothingInHand
3,7,2,9,4,4,4,11,1,13,NothingInHand
3,4,1,10,3,6,3,9,2,3,NothingInHand
2,13,4,8,4,13,4,6,3,2,OnePair
4,10,3,12,3,7,1,12,2,5,OnePair
2,13,4,12,4,13,1,7,4,8,OnePair
1,3,2,6,1,6,2,13,3,11,OnePair
1,7,4,1,4,11,3,3,4,12,NothingInHand
1,5,2,1,3,5,3,2,1,6,OnePair
3,13,1,13,2,1,3,8,1,4,OnePair
1,4,2,9,2,5,3,5,4,7,OnePair
2,7,4,7,1,4,3,11,3,9,OnePair
1,2,3,9,4,2,4,9,1,8,TwoPairs
3,9,3,2,4,6,3,10,3,7,NothingInHand
4,3,1,4,3,8,4,7,3,9,NothingInHand
2,9,2,5,3,4,2,10,2,7,NothingInHand
1,12,4,12,4,8,4,11,2,12,ThreeOfAKind
2,1,4,6,1,4,1,9,1,1,OnePair
2,10,4,6,4,11,4,5,2,12,NothingInHand
1,8,1,11,4,2,4,7,3,1,NothingInHand
4,5,2,11,2,2,4,9,3,7,NothingInHand
2,12,1,7,2,9,4,8,3,7,OnePair
2,9,2,2,3,7,4,13,3,11,NothingInHand
3,6,3,8,2,12,4,8,3,11,OnePair
2,9,4,8,4,2,4,9,4,11,OnePair
3,4,2,10,3,3,4,13,4,4,OnePair
4,5,4,2,2,10,4,11,2,11,OnePair
2,7,3,3,4,3,4,10,3,12,OnePair
2,4,2,7,1,7,3,4,2,5,TwoPairs
4,7,3,2,2,3,4,13,4,2,OnePair
3,4,3,13,2,8,3,9,1,9,OnePair
4,8,1,9,3,8,1,8,4,3,ThreeOfAKind
4,3,2,1,2,10,1,2,4,4,NothingInHand
3,7,1,4,3,3,2,8,1,1,NothingInHand
4,7,1,13,2,3,1,9,4,1,NothingInHand
4,9,2,7,3,13,2,1,3,12,NothingInHand
4,4,3,7,4,1,4,3,2,9,NothingInHand
3,8,4,2,2,13,3,13,4,11,OnePair
2,12,3,11,2,9,4,8,2,7,NothingInHand
1,11,1,7,4,9,1,5,3,10,NothingInHand
4,1,3,9,3,2,2,11,2,9,OnePair
2,4,3,12,2,1,2,7,1,7,OnePair
3,3,1,13,2,9,2,8,3,8,OnePair
4,1,2,6,3,8,3,2,1,6,OnePair
4,5,1,8,2,12,1,12,1,13,OnePair
4,11,2,2,4,10,3,12,1,7,NothingInHand
4,4,1,7,3,13,3,12,2,2,NothingInHand
3,8,2,12,4,11,4,1,3,9,NothingInHand
2,7,4,12,4,2,3,13,1,5,NothingInHand
2,5,3,5,3,2,2,13,4,4,OnePair
1,11,3,12,3,10,4,9,2,13,St1ight
2,13,1,3,1,7,2,9,3,7,OnePair
1,1,3,2,4,6,2,11,4,12,NothingInHand
3,5,1,12,3,3,1,7,1,9,NothingInHand
4,9,2,4,1,3,3,7,1,12,NothingInHand
4,11,1,12,3,7,2,4,2,1,NothingInHand
4,2,3,11,2,4,4,13,2,13,OnePair
4,1,2,1,4,3,2,4,2,8,OnePair
4,4,1,5,2,3,1,11,4,13,NothingInHand
2,5,3,5,4,12,2,2,3,12,TwoPairs
1,8,4,10,2,11,3,4,3,3,NothingInHand
4,6,4,3,1,5,1,11,2,8,NothingInHand
4,6,1,11,3,5,2,5,1,10,OnePair
2,2,3,5,1,6,3,10,3,3,NothingInHand
4,10,2,1,2,11,1,2,4,13,NothingInHand
1,11,2,10,3,9,2,2,1,6,NothingInHand
1,10,2,3,2,4,1,8,4,11,NothingInHand
4,11,3,4,4,2,2,4,1,6,OnePair
2,9,3,4,2,11,4,4,4,9,TwoPairs
1,4,4,9,3,2,1,12,2,6,NothingInHand
4,9,2,8,2,6,3,6,4,11,OnePair
3,12,3,1,2,11,3,2,2,5,NothingInHand
2,1,3,5,2,7,1,4,2,10,NothingInHand
3,7,2,2,1,7,2,7,1,2,FullHouse
2,5,3,8,2,4,1,5,3,11,OnePair
3,8,1,11,3,12,2,5,2,9,NothingInHand
3,12,3,9,3,2,1,3,3,6,NothingInHand
3,9,3,13,1,5,2,8,4,8,OnePair
1,1,3,11,2,4,2,8,1,8,OnePair
3,3,2,5,1,2,3,6,4,10,NothingInHand
3,9,3,1,1,8,4,9,2,10,OnePair
4,1,2,5,2,12,3,2,2,10,NothingInHand
1,7,1,11,2,13,2,3,2,5,NothingInHand
2,10,1,11,1,7,1,2,3,11,OnePair
1,4,1,11,4,6,4,10,3,10,OnePair
4,8,2,13,4,4,4,12,1,1,NothingInHand
2,2,2,6,4,1,3,9,4,8,NothingInHand
4,5,2,1,2,3,3,6,1,10,NothingInHand
2,7,4,8,3,11,4,5,4,7,OnePair
1,11,2,3,3,7,1,12,1,4,NothingInHand
4,7,4,1,1,5,1,2,2,3,NothingInHand
3,5,1,13,4,11,2,2,3,11,OnePair
1,10,1,4,1,3,3,3,3,1,OnePair
1,13,2,12,4,13,2,4,2,2,OnePair
4,3,4,6,4,5,1,3,2,3,ThreeOfAKind
4,12,2,6,2,10,4,3,4,2,NothingInHand
1,10,1,1,1,3,2,2,1,2,OnePair
4,13,4,6,1,13,2,2,3,13,ThreeOfAKind
1,6,3,6,4,12,3,8,4,8,TwoPairs
4,1,1,10,2,9,3,2,3,7,NothingInHand
1,11,2,3,3,9,3,10,3,5,NothingInHand
2,6,4,8,4,5,2,7,4,3,NothingInHand
2,13,2,8,1,13,4,3,1,3,TwoPairs
3,9,2,10,3,3,2,8,4,1,NothingInHand
3,9,4,11,2,5,3,5,1,13,OnePair
1,2,1,7,3,2,4,1,4,5,OnePair
3,2,3,4,2,12,3,12,1,6,OnePair
1,1,3,11,3,6,2,2,2,7,NothingInHand
2,8,1,10,2,2,4,9,1,5,NothingInHand
3,13,2,2,1,11,4,12,1,5,NothingInHand
1,3,1,1,4,6,3,2,1,12,NothingInHand
2,12,1,5,2,13,1,11,2,9,NothingInHand
3,4,2,10,3,13,2,6,4,7,NothingInHand
4,7,2,9,2,7,4,6,1,4,OnePair
4,13,1,7,4,11,1,11,2,4,OnePair
1,2,4,6,3,4,4,8,4,1,NothingInHand
2,2,4,9,1,6,1,8,3,13,NothingInHand
4,11,3,3,3,6,2,11,1,6,TwoPairs
4,13,1,9,3,7,3,11,1,7,OnePair
2,1,4,12,1,4,1,7,3,3,NothingInHand
2,3,2,6,2,9,2,7,3,9,OnePair
2,11,1,4,3,7,2,1,2,9,NothingInHand
3,13,4,8,1,2,1,11,2,4,NothingInHand
2,9,4,5,1,3,1,11,1,6,NothingInHand
3,1,1,1,3,6,4,1,2,7,ThreeOfAKind
2,9,3,3,1,4,3,1,2,8,NothingInHand
4,12,1,12,3,12,2,13,3,4,ThreeOfAKind
4,10,4,12,2,9,2,4,3,8,NothingInHand
3,3,3,13,3,2,3,11,4,12,NothingInHand
1,3,3,3,1,13,1,6,1,4,OnePair
3,6,3,5,1,13,1,6,2,10,OnePair
1,13,4,6,4,2,3,2,2,2,ThreeOfAKind
1,11,4,11,1,5,3,1,2,9,OnePair
4,13,2,12,2,9,3,6,3,3,NothingInHand
1,5,2,5,3,2,3,1,4,3,OnePair
1,4,4,4,2,12,1,3,1,10,OnePair
1,5,3,9,1,6,3,3,4,7,NothingInHand
2,2,1,8,4,6,3,4,2,12,NothingInHand
3,1,1,5,4,5,3,9,4,4,OnePair
2,13,1,9,3,8,4,1,1,1,OnePair
1,9,1,8,3,10,4,10,2,10,ThreeOfAKind
1,2,3,10,2,11,2,6,2,8,NothingInHand
2,6,4,11,4,6,4,5,3,10,OnePair
4,10,2,13,2,2,3,10,4,13,TwoPairs
3,6,2,12,3,3,2,3,1,9,OnePair
2,10,4,5,2,13,2,2,3,13,OnePair
4,7,3,3,2,5,2,8,3,10,NothingInHand
4,10,1,9,1,4,2,4,1,2,OnePair
2,9,3,7,1,13,2,13,1,2,OnePair
1,10,2,6,2,12,2,5,4,3,NothingInHand
2,3,1,11,3,4,2,2,3,8,NothingInHand
2,8,1,4,4,13,1,3,4,12,NothingInHand
3,10,4,10,1,5,3,4,4,5,TwoPairs
2,12,4,12,4,11,1,4,3,13,OnePair
2,10,3,6,4,4,4,8,4,1,NothingInHand
4,3,3,9,2,12,3,5,2,9,OnePair
3,7,2,6,3,1,1,11,3,5,NothingInHand
3,10,2,9,2,13,2,6,1,3,NothingInHand
3,10,3,5,3,13,2,3,2,9,NothingInHand
1,13,2,10,2,6,3,13,4,6,TwoPairs
1,3,3,9,3,12,3,6,2,9,OnePair
4,4,2,4,1,4,3,1,1,1,FullHouse
4,8,4,10,3,5,2,12,1,5,OnePair
4,6,2,3,4,13,2,10,2,7,NothingInHand
4,12,1,10,1,13,1,4,2,6,NothingInHand
2,6,3,11,2,7,4,4,1,2,NothingInHand
2,6,2,12,3,4,3,13,2,11,NothingInHand
1,11,1,9,4,11,2,13,3,10,OnePair
3,10,2,12,2,10,3,2,3,4,OnePair
3,5,1,7,1,9,4,12,4,4,NothingInHand
4,10,3,1,4,2,4,7,2,8,NothingInHand
2,7,4,11,4,12,2,12,2,11,TwoPairs
4,5,2,3,3,4,4,10,2,12,NothingInHand
2,3,4,8,1,6,4,12,3,13,NothingInHand
1,11,1,7,4,10,4,12,2,1,NothingInHand
3,4,4,4,4,10,4,13,2,2,OnePair
2,2,2,1,4,12,4,13,3,13,OnePair
