ID,BIBID,ABST
17,Yang2018, Recently short-term traffic prediction under conditions with corrupted or missing data has become a popular topic. Since a road section has predictive power regarding the adjacent roads at a specific location this paper proposes a novel hybrid convolutional long short-term memory neural network model based on critical road sections (CRS-ConvLSTM NN) to predict the traffic evolution of global networks. The critical road sections that have the most powerful impact on the subnetwork are identified by a spatiotemporal correlation algorithm. Subsequently the traffic speed of the critical road sections is used as the input to the ConvLSTM to predict the future traffic states of the entire network. The experimental results from a Beijing traffic network indicate that the CRS-ConvLSTM outperforms prevailing deep learning (DL) approaches for cases that consider critical road sections and the results validate the capability and generalizability of the model when predicting with different numbers of critical road sections.
18,Ma2017, This paper proposes a convolutional neural network (CNN)-based method that learns traffic as images and predicts large-scale network-wide traffic speed with a high accuracy. Spatiotemporal traffic dynamics are converted to images describing the time and space relations of traffic flow via a two-dimensional time-space matrix. A CNN is applied to the image following two consecutive steps: abstract traffic feature extraction and network-wide traffic speed prediction. The effectiveness of the proposed method is evaluated by taking two real-world transportation networks the second ring road and north-east transportation network in Beijing as examples and comparing the method with four prevailing algorithms namely ordinary least squares k-nearest neighbors artificial neural network and random forest and three deep learning architectures namely stacked autoencoder recurrent neural network and long-short-term memory network. The results show that the proposed method outperforms other algorithms by an average accuracy improvement of 42.91% within an acceptable execution time. The CNN can train the model in a reasonable time and thus is suitable for large-scale transportation networks.
19,Ma2018, Because they are key components of aircraft improving the safety reliability and economy of engines is crucial. To ensure flight safety and reduce the cost of maintenance during aircraft engine operation a prognostics and health management system that focuses on fault diagnosis health assessment and life prediction is introduced to solve the problems. Predicting the remaining useful life (RUL) is the most important information for making decisions about aircraft engine operation and maintenance and it relies largely on the selection of performance degradation features. The choice of such features is highly significant but there are some weaknesses in the current algorithm for RUL prediction notably the inability to obtain tendencies from the data. Especially with aircraft engines extracting useful degradation features from multisensor data with complex correlations is a key technical problem that has hindered the implementation of degradation assessment. To solve these problems deep learning has been proposed in recent years to exploit multiple layers of nonlinear information processing for unsupervised self-learning of features. This paper presents a deep learning approach to predict the RUL of an aircraft engine based on a stacked sparse autoencoder and logistic regression. The stacked sparse autoencoder is used to automatically extract performance degradation features from multiple sensors on the aircraft engine and to fuse multiple features through multilayer self-learning. Logistic regression is used to predict the remaining useful life. However the hyperparameters of the deep learning which significantly impact the feature extraction and prediction performance are determined based on expert experience in most cases. The grid search method is introduced in this paper to optimize the hyperparameters of the proposed aircraft engine RUL prediction model. An application of this method of predicting the RUL of an aircraft engine with a benchmark dataset is employed to demonstrate the effectiveness of the proposed approach.
20,Samir2017, We propose a new algorithm for automatic detect violations of traffic rules for improving the people safety on the unregulated pedestrian crossing. The algorithm uses multi-step proceedings. They are zebra detection cars detection and pedestrian detection. For car detection we use faster R-CNN deep learning tool. The algorithm shows promising results in the detection violations of traffic rules.
21,Zhang2018a, Virtual Geographic Environment Cognition is the attempt to understand the human cognition of surface features geographic processes and human behaviour as well as their relationships in the real world. From the perspective of human cognition behaviour analysis and simulation previous work in Virtual Geographic Environments (VGEs) has focused mostly on representing and simulating the real world to create an ‘interpretive’ virtual world and improve an individual’s active cognition. In terms of reactive cognition building a user ‘evaluative’ environment in a complex virtual experiment is a necessary yet challenging task. This paper discusses the outlook of VGEs and proposes a framework for virtual cognitive experiments. The framework not only employs immersive virtual environment technology to create a realistic virtual world but also involves a responsive mechanism to record the user’s cognitive activities during the experiment. Based on the framework this paper presents two potential implementation methods: first training a deep learning model with several hundred thousand street view images scored by online volunteers with further analysis of which visual factors produce a sense of safety for the individual and second creating an immersive virtual environment and Electroencephalogram (EEG)-based experimental paradigm to both record and analyse the brain activity of a user and explore what type of virtual environment is more suitable and comfortable. Finally we present some preliminary findings based on the first method.
22,Xu2018, Railway subgrade defect is the serious threat to train safety. Vehicle-borne GPR method has become the main railway subgrade detection technology with its advantages of rapidness and nondestructiveness. However due to the large amount of detection data and the variety in defect shape and size defect recognition is a challenging task. In this work the method based on deep learning is proposed to recognize defects from the ground penetrating radar (GPR) profile of subgrade detection data. Based on the Faster R-CNN framework the improvement strategies of feature cascade adversarial spatial dropout network (ASDN) Soft-NMS and data augmentation have been integrated to improve recognition accuracy according to the characteristics of subgrade defects. The experimental results indicates that compared with traditional SVM+HOG method and the baseline Faster R-CNN the improved model can achieve better performance. The model robustness is demonstrated by a further comparison experiment of various defect types. In addition the improvements to model performance of each improvement strategy are verified by an ablation experiment of improvement strategies. This paper tries to explore the new thinking for the application of deep learning method in the field of railway subgrade defect recognition.
23,Wei2018, Collision avoidance is a critical task in many applications such as ADAS (advanced driver-assistance systems) industrial automation and robotics. In an industrial automation setting certain areas should be off limits to an automated vehicle for protection of people and high-valued assets. These areas can be quarantined by mapping (e.g. GPS) or via beacons that delineate a no-entry area. We propose a delineation method where the industrial vehicle utilizes a LiDAR (Light Detection and Ranging) and a single color camera to detect passive beacons and model-predictive control to stop the vehicle from entering a restricted space. The beacons are standard orange traffic cones with a highly reflective vertical pole attached. The LiDAR can readily detect these beacons but suffers from false positives due to other reflective surfaces such as worker safety vests. Herein we put forth a method for reducing false positive detection from the LiDAR by projecting the beacons in the camera imagery via a deep learning method and validating the detection using a neural network-learned projection from the camera to the LiDAR space. Experimental data collected at Mississippi State University&rsquo;s Center for Advanced Vehicular Systems (CAVS) shows the effectiveness of the proposed system in keeping the true detection while mitigating false positives.
24,Namba2018, Slip-induced fall is one of the main factors causing serious fracture injuries among the elderly. In this paper we propose a fall risk reduction measures for the elderly based on deep reinforcement learning using mobile assistant 
25,Yuan2018, Track status classification is essential for the stability and safety of railway operations nowadays when railway networks are becoming more and more complex and broad. In this situation monitoring systems are already a key element in applications dedicated to evaluating the status of a certain track section often determining whether it is free or occupied by a train. Different technologies have already been involved in the design of monitoring systems including ultrasonic guided waves (UGW). This work proposes the use of the UGW signals captured by a track monitoring system to extract the features that are relevant for determining the corresponding track section status. For that purpose three features of UGW signals have been considered: the root mean square value the energy and the main frequency components. Experimental results successfully validated how these features can be used to classify the track section status into free occupied and broken. Furthermore spatial and temporal dependencies among these features were analysed in order to show how they can improve the final classification performance. Finally a preliminary high-level classification system based on deep learning networks has been envisaged for future works.
26,Mao2018, The food supply chain is a complex system that involves a multitude of &ldquo;stakeholders&rdquo; such as farmers production factories distributors retailers and consumers. &ldquo;Information asymmetry&rdquo; between stakeholders is one of the major factors that lead to food fraud. Some current researches have shown that applying blockchain can help ensure food safety. However they tend to study the traceability of food but not its supervision. This paper provides a blockchain-based credit evaluation system to strengthen the effectiveness of supervision and management in the food supply chain. The system gathers credit evaluation text from traders by smart contracts on the blockchain. Then the gathered text is analyzed directly by a deep learning network named Long Short Term Memory (LSTM). Finally traders&rsquo; credit results are used as a reference for the supervision and management of regulators. By applying blockchain traders can be held accountable for their actions in the process of transaction and credit evaluation. Regulators can gather more reliable authentic and sufficient information about traders. The results of experiments show that adopting LSTM results in better performance than traditional machine learning methods such as Support Vector Machine (SVM) and Navie Bayes (NB) to analyze the credit evaluation text. The system provides a friendly interface for the convenience of users.
27,Yu2017, Predicting large-scale transportation network traffic has become an important and challenging topic in recent decades. Inspired by the domain knowledge of motion prediction in which the future motion of an object can be predicted based on previous scenes we propose a network grid representation method that can retain the fine-scale structure of a transportation network. Network-wide traffic speeds are converted into a series of static images and input into a novel deep architecture namely spatiotemporal recurrent convolutional networks (SRCNs) for traffic forecasting. The proposed SRCNs inherit the advantages of deep convolutional neural networks (DCNNs) and long short-term memory (LSTM) neural networks. The spatial dependencies of network-wide traffic can be captured by DCNNs and the temporal dynamics can be learned by LSTMs. An experiment on a Beijing transportation network with 278 links demonstrates that SRCNs outperform other deep learning-based algorithms in both short-term and long-term traffic prediction.
28,Noguchi2016, We propose an architecture of neural network that can learn and integrate sequential multimodal information using Long Short Term Memory. Our model consists of encoder and decoder LSTMs and multimodal autoencoder. For integrating sequential multimodal information firstly the encoder LSTM encodes a sequential input to a fixed range feature vector for each modality. Secondly the multimodal autoencoder integrates the feature vectors from each modality and generate a fused feature vector which contains sequential multimodal information in a mixed form. The original feature vectors from each modality are re-generated from the fused feature vector in the multimodal autoencoder. The decoder LSTM decodes the sequential inputs from the regenerated feature vector. Our model is trained with the visual and motion sequences of humans and is tested by recall tasks. The experimental results show that our model can learn and remember the sequential multimodal inputs and decrease the ambiguity generated at the learning stage of LSTMs using integrated multimodal information. Our model can also recall the visual sequences from the only motion sequences and vice versa.
29,Wang2014, Vision based vehicle detection is a critical technology that plays an important role in not only vehicle active safety but also road video surveillance application. Traditional shallow model based vehicle detection algorithm still cannot meet the requirement of accurate vehicle detection in these applications. In this work a novel deep learning based vehicle detection algorithm with 2D deep belief network (2D-DBN) is proposed. In the algorithm the proposed 2D-DBN architecture uses second-order planes instead of first-order vector as input and uses bilinear projection for retaining discriminative information so as to determine the size of the deep architecture which enhances the success rate of vehicle detection. On-road experimental results demonstrate that the algorithm performs better than state-of-the-art vehicle detection algorithm in testing data sets.
30,Gao2017, Various biological factors have been implicated in convulsive seizures involving side effects of drugs. For the preclinical safety assessment of drug development it is difficult to predict seizure-inducing side effects. Here we introduced a machine learning-based in vitro system designed to detect seizure-inducing side effects. We recorded local field potentials from the CA1 alveus in acute mouse neocortico-hippocampal slices while 14 drugs were bath-perfused at 5 different concentrations each. For each experimental condition we collected seizure-like neuronal activity and merged their waveforms as one graphic image which was further converted into a feature vector using Caffe an open framework for deep learning. In the space of the first two principal components the support vector machine completely separated the vectors (i.e. doses of individual drugs) that induced seizure-like events and identified diphenhydramine enoxacin strychnine and theophylline as “seizure-inducing” drugs which indeed were reported to induce seizures in clinical situations. Thus this artificial intelligence-based classification may provide a new platform to detect the seizure-inducing side effects of preclinical drugs.
31,Sohaib2018, Due to enhanced safety cost-effectiveness and reliability requirements fault diagnosis of bearings using vibration acceleration signals has been a key area of research over the past several decades. Many fault diagnosis algorithms have been developed that can efficiently classify faults under constant speed conditions. However the performances of these traditional algorithms deteriorate with fluctuations of the shaft speed. In the past couple of years deep learning algorithms have not only improved the classification performance in various disciplines (e.g. in image processing and natural language processing) but also reduced the complexity of feature extraction and selection processes. In this study using complex envelope spectra and stacked sparse autoencoder- (SSAE-) based deep neural networks (DNNs) a fault diagnosis scheme is developed that can overcome fluctuations of the shaft speed. The complex envelope spectrum made the frequency components associated with each fault type vibrant hence helping the autoencoders to learn the characteristic features from the given input signals more readily. Moreover the implementation of SSAE-DNN for bearing fault diagnosis has avoided the need of handcrafted features that are used in traditional fault diagnosis schemes. The experimental results demonstrate that the proposed scheme outperforms conventional fault diagnosis algorithms in terms of fault classification accuracy when tested with variable shaft speed data.
32,Shaheryar2016, Sensors health monitoring is essentially important for reliable functioning of safety-critical chemical and nuclear power plants. Autoassociative neural network (AANN) based empirical sensor models have widely been reported for sensor calibration monitoring. However such ill-posed data driven models may result in poor generalization and robustness. To address above-mentioned issues several regularization heuristics such as training with jitter weight decay and cross-validation are suggested in literature. Apart from these regularization heuristics traditional error gradient based supervised learning algorithms for multilayered AANN models are highly susceptible of being trapped in local optimum. In order to address poor regularization and robust learning issues here we propose a denoised autoassociative sensor model (DAASM) based on deep learning framework. Proposed DAASM model comprises multiple hidden layers which are pretrained greedily in an unsupervised fashion under denoising autoencoder architecture. In order to improve robustness dropout heuristic and domain specific data corruption processes are exercised during unsupervised pretraining phase. The proposed sensor model is trained and tested on sensor data from a PWR type nuclear power plant. Accuracy autosensitivity spillover and sequential probability ratio test (SPRT) based fault detectability metrics are used for performance assessment and comparison with extensively reported five-layer AANN model by Kramer.
33,Toth2018, The ongoing proliferation of remote sensing technologies in the consumer market has been rapidly reshaping the geospatial data acquisition world and subsequently the data processing as well as information dissemination processes. Smartphones have clearly established themselves as the primary crowdsourced data generators recently and provide an incredible volume of remote sensed data with fairly good georeferencing. Besides the potential to map the environment of the smartphone users they provide information to monitor the dynamic content of the object space. For example real-time traffic monitoring is one of the most known and widely used real-time crowdsensed application where the smartphones in vehicles jointly contribute to an unprecedentedly accurate traffic flow estimation. Now we are witnessing another milestone to happen as driverless vehicle technologies will become another major source of crowdsensed data. Due to safety concerns the requirements for sensing are higher as the vehicles should sense other vehicles and the road infrastructure under any condition not just daylight in favorable weather conditions and at very fast speed. Furthermore the sensing is based on using redundant and complementary sensor streams to achieve a robust object space reconstruction needed to avoid collisions and maintain normal travel patterns. At this point the remote sensed data in assisted and autonomous vehicles are discarded or partially recorded for R&amp;D purposes. However in the long run as vehicle-to-vehicle (V2V) and vehicle-to-infrastructure (V2I) communication technologies mature recording data will become a common place and will provide an excellent source of geospatial information for road mapping traffic monitoring etc. This paper reviews the key characteristics of crowdsourced vehicle data based on experimental data and then the processing aspects including the Data Science and Deep Learning components.
34,Winkle2018, Abstract Introduction Automated vehicles in everyday real-world traffic are predicted to be developed soon (Gasser et al. Rechtsfolgen zunehmender Fahrzeugautomatisierung Wirtschaftsverlag NW Berichte der Bundesanstalt f r Stra enwesen F83 2012). New technologies such as advanced object detection and artificial intelligence (AI) that use machine or deep-learning algorithms will support meeting all the maneuvering challenges involved in different degrees of automation (Society of Automotive Engineers - SAE international Levels of driving automation for on road vehicles Warrendale PA. 2014; National Highway Traffic Safety Administration   NHTSA Preliminary statement of policy concerning automated vehicles Washington DC 2018). For automated series production these vehicles of course must be safe in real-world traffic under all weather conditions. Therefore system validation ethical aspects and testing of automated vehicle functions are fundamental basics for successfully developing market launching ethical and social acceptance. Method In order to test and validate critical poor visibility detection challenges of automated vehicles with reasonable expenditure a first area-wide analysis has been conducted. Because poor visibility restricts human perception similar corresponding to machine perception it was based on a text analysis of 1.28 million area-wide police accident reports   followed by an in-depth case-by-case analysis of 374 identified cases concerning bad weather conditions (see chap. 1.3). For this purpose the first time ever a nationwide analysis included all police reports in the whole area within the state of Saxony from the year 2004 until 2014. Results Within this large database 374 accidents were found due to perception limitations   caused by “rain” “fog” “snow” “glare”/“blinding” and “visual obstruction”   for the detailed case-by-case investigation. All those challenging traffic scenarios are relevant for automated driving. They will form a key aspect for safe development validation and testing of machine perception within automated driving functions. Conclusions This first area-wide analysis does not only rely on samples as in previous in-depth analyses. It provides relevant real-world traffic scenarios for testing of automated vehicles. For the first time this analysis is carried out knowing the place time and context of each accident over the total investigated area of an entire federal state. Thus the accidents that have been analyzed include all kinds of representative situations that can occur on motorways highways main roads side streets or urban traffic. The scenarios can be extrapolated to include similar road networks worldwide. These results additionally will be taken into account for developing standards regarding early simulations as well as for the subsequent real-life testing. In the future vehicle operation data and traffic simulations could be included as well. Based on these relevant real-world accidents culled from the federal accident database for Saxony the authors recommend further development of internationally valid guidelines based on ethical legal requirements and social acceptance.
35,Jakaria2018, Poster Abstract: Safety Analysis for UAV Networks
36,Kang2018, Poster Abstract: DeepRT: A Predictable Deep Learning Inference Framework for IoT Devices
37,Zhu2018, Ensuring the health and safety of independent-living senior citizens is a growing societal concern. Researchers have developed sensor based systems to monitor senior citizens' Activity of Daily Living (ADL) a set of daily activities that can indicate their self-caring ability. However most ADL monitoring systems are designed for one specific sensor modality resulting in less generalizable models that is not flexible to account variations in real-life monitoring settings. Current classic machine learning and deep learning methods do not provide a generalizable solution to recognize complex ADLs for different sensor settings. This study proposes a novel Sequence-to-Sequence model based deep-learning framework to recognize complex ADLs leveraging an activity state representation. The proposed activity state representation integrated motion and environment sensor data without labor-intense feature engineering. We evaluated our proposed framework against several state-of-the-art machine learning and deep learning benchmarks. Overall our approach outperformed baselines in most performance metrics accurately recognized complex ADLs from different types of sensor input. This framework can generalize to different sensor settings and provide a viable approach to understand senior citizen's daily activity patterns with smart home health monitoring systems.
38,Munkhdalai2018, Medication and adverse drug event (ADE) information extracted from electronic health record (EHR) notes can be a rich resource for drug safety surveillance. Existing observational studies have mainly relied on structured EHR data to obtain ADE information; however ADEs are often buried in the EHR narratives and not recorded in structured data. To unlock ADE-related information from EHR narratives there is a need to extract relevant entities and identify relations among them. In this study we focus on relation identification. This study aimed to evaluate natural language processing and machine learning approaches using the expert-annotated medical entities and relations in the context of drug safety surveillance and investigate how different learning approaches perform under different configurations. We have manually annotated 791 EHR notes with 9 named entities (eg medication indication severity and ADEs) and 7 different types of relations (eg medication-dosage medication-ADE and severity-ADE). Then we explored 3 supervised machine learning systems for relation identification: (1) a support vector machines (SVM) system (2) an end-to-end deep neural network system and (3) a supervised descriptive rule induction baseline system. For the neural network system we exploited the state-of-the-art recurrent neural network (RNN) and attention models. We report the performance by macro-averaged precision recall and F1-score across the relation types. Our results show that the SVM model achieved the best average F1-score of 89.1% on test data outperforming the long short-term memory (LSTM) model with attention (F1-score of 65.72%) as well as the rule induction baseline system (F1-score of 7.47%) by a large margin. The bidirectional LSTM model with attention achieved the best performance among different RNN models. With the inclusion of additional features in the LSTM model its performance can be boosted to an average F1-score of 77.35%. It shows that classical learning models (SVM) remains advantageous over deep learning models (RNN variants) for clinical relation identification especially for long-distance intersentential relations. However RNNs demonstrate a great potential of significant improvement if more training data become available. Our work is an important step toward mining EHRs to improve the efficacy of drug safety surveillance. Most importantly the annotated data used in this study will be made publicly available which will further promote drug safety research in the community.
